Breed,Year,Count
Scottish Terrier,1937,7707
Sealyham Terrier,1937,731
English Setter,1937,1006
Gordon Setter,1937,102
Irish Setter,1937,1571
Shetland Sheepdog,1937,222
Siberian Husky,1937,5
Skye Terrier,1937,17
Clumber Spaniel,1937,75
Spaniel (All Cockers),1937,15110
English Springer Spaniel,1937,3222
Irish Water Spaniel,1937,58
Sussex Spaniel,1937,11
Staffordshire Bull Terrier,1937,52
Standard Schnauzer,1937,225
Cardigan Welsh Corgi,1937,8
Pembroke Welsh Corgi,1937,65
Welsh Terrier,1937,448
West Highland White Terrier,1937,148
Whippet,1937,76
Wirehaired Pointing Griffon,1937,11
Yorkshire Terrier,1937,63
Eskimo,1937,3
Affenpinscher,1938,8
Afghan Hound,1938,125
Airedale Terrier,1938,884
Basset Hound,1938,133
Beagle,1938,5058
Bedlington Terrier,1938,157
Belgian Sheepdog,1938,3
Bernese Mountain Dog,1938,1
Bloodhound,1938,101
Border Terrier,1938,13
Borzoi,1938,111
Boston Terrier,1938,8257
Bouvier des Flandres,1938,7
Boxer,1938,724
Briard,1938,27
Brittany,1938,40
Brussels Griffon,1938,90
Bull Terrier,1938,398
Bulldog,1938,2105
Bullmastiff,1938,9
Cairn Terrier,1938,498
Chihuahua,1938,662
Chow Chow,1938,2532
Collie,1938,1816
Dachshund,1938,3213
Dalmatian,1938,524
Dandie Dinmont Terrier,1938,81
Doberman Pinscher,1938,1445
English Toy Spaniel (Blenheim and Prince Charles),1938,86
Fox Terrier,1938,5997
American Foxhound,1938,10
English Foxhound,1938,1
French Bulldog,1938,185
German Shepherd,1938,884
Giant Schnauzer,1938,24
Great Dane,1938,1384
Great Pyrenees,1938,62
Greyhound,1938,2414
Harrier,1938,2
Irish Terrier,1938,904
Irish Wolfhound,1938,63
