Breed,Year,Count
Fox Terrier,1934,7081.0
American Foxhound,1934,1.0
English Foxhound,1934,1.0
French Bulldog,1934,204.0
German Shepherd,1934,792.0
Giant Schnauzer,1934,20.0
Great Dane,1934,870.0
Great Pyrenees,1934,15.0
Greyhound,1934,12.0
Harrier,1934,6.0
Irish Terrier,1934,843.0
Irish Wolfhound,1934,68.0
Italian Greyhound,1934,3.0
Japanese Chin,1934,91.0
Keeshond,1934,39.0
Kerry Blue Terrier,1934,183.0
Kuvasz,1934,10.0
Lakeland Terrier,1934,4.0
Maltese,1934,22.0
Manchester Terrier-XX,1934,6.0
Manchester Terrier (Toy),1934,240.0
Manchester Terrier,1934,246.0
Mastiff,1934,7.0
Miniature Pinscher,1934,79.0
Miniature Schnauzer,1934,142.0
Newfoundland,1934,179.0
Norwegian Elkhound,1934,89.0
Old English Sheepdog,1934,66.0
Papillon,1934,24.0
Pekingese,1934,3738.0
Pointer,1934,194.0
German Shorthaired Pointer,1934,17.0
Pomeranian,1934,1502.0
Poodle (miniature),1934,134.0
Poodle (toy),1934,4.0
Poodle,1934,138.0
Pug,1934,109.0
Chesapeake Bay Retriever,1934,103.0
Flat-Coated Retriever,1934,3.0
Golden Retriever,1934,32.0
Labrador Retriever,1934,121.0
Rottweiler,1934,4.0
Saint Bernard,1934,332.0
Saluki,1934,14.0
Samoyed,1934,113.0
Schipperke,1934,139.0
Scottish Deerhound,1934,7.0
Scottish Terrier,1934,5879.0
Sealyham Terrier,1934,507.0
English Setter,1934,649.0
Gordon Setter,1934,47.0
Irish Setter,1934,1004.0
Shetland Sheepdog,1934,63.0
Siberian Husky,1934,5.0
Skye Terrier,1934,15.0
Clumber Spaniel,1934,24.0
"Spaniel (Cocker), American type, any solid color other than black, including black and tan",1934,6229.0
Spaniel (All Cockers),1934,6229.0
English Springer Spaniel,1934,2332.0
Irish Water Spaniel,1934,24.0
Sussex Spaniel,1934,1.0
Standard Schnauzer,1934,227.0
Cardigan Welsh Corgi,1934,1.0
Pembroke Welsh Corgi,1934,8.0
Welsh Terrier,1934,191.0
West Highland White Terrier,1934,92.0
Whippet,1934,36.0
Wirehaired Pointing Griffon,1934,4.0
